id	chrom	len	cumul
scaff_group_001	CAKOES020000001.1	341696	341696
scaff_group_001	CAKOES020000002.1	256741	598437
scaff_group_001	CAKOES020000003.1	218957	817394
scaff_group_001	CAKOES020000004.1	206630	1024024
scaff_group_001	CAKOES020000005.1	193683	1217707
scaff_group_001	CAKOES020000006.1	178684	1396391
scaff_group_001	CAKOES020000007.1	161191	1557582
scaff_group_001	CAKOES020000008.1	146213	1703795
scaff_group_001	CAKOES020000009.1	139305	1843100
scaff_group_001	CAKOES020000010.1	137949	1981049
scaff_group_002	CAKOES020000011.1	127821	2108870
scaff_group_002	CAKOES020000012.1	127801	2236671
scaff_group_002	CAKOES020000013.1	124853	2361524
scaff_group_002	CAKOES020000014.1	116132	2477656
scaff_group_002	CAKOES020000015.1	109475	2587131
scaff_group_002	CAKOES020000016.1	108616	2695747
scaff_group_002	CAKOES020000017.1	107957	2803704
scaff_group_002	CAKOES020000018.1	102726	2906430
scaff_group_002	CAKOES020000019.1	101135	3007565
scaff_group_002	CAKOES020000020.1	101116	3108681
scaff_group_002	CAKOES020000021.1	99168	3207849
scaff_group_002	CAKOES020000022.1	98387	3306236
scaff_group_002	CAKOES020000023.1	97316	3403552
scaff_group_002	CAKOES020000024.1	94512	3498064
scaff_group_002	CAKOES020000025.1	94420	3592484
scaff_group_002	CAKOES020000026.1	94325	3686809
scaff_group_002	CAKOES020000027.1	93799	3780608
scaff_group_002	CAKOES020000028.1	92751	3873359
scaff_group_002	CAKOES020000029.1	90313	3963672
scaff_group_003	CAKOES020000030.1	90005	4053677
scaff_group_003	CAKOES020000031.1	89358	4143035
scaff_group_003	CAKOES020000032.1	87986	4231021
scaff_group_003	CAKOES020000033.1	86198	4317219
scaff_group_003	CAKOES020000034.1	85886	4403105
scaff_group_003	CAKOES020000035.1	83075	4486180
scaff_group_003	CAKOES020000036.1	81906	4568086
scaff_group_003	CAKOES020000037.1	81845	4649931
scaff_group_003	CAKOES020000038.1	81097	4731028
scaff_group_003	CAKOES020000039.1	80939	4811967
scaff_group_003	CAKOES020000040.1	80736	4892703
scaff_group_003	CAKOES020000041.1	80283	4972986
scaff_group_003	CAKOES020000042.1	79961	5052947
scaff_group_003	CAKOES020000043.1	79674	5132621
scaff_group_003	CAKOES020000044.1	78062	5210683
scaff_group_003	CAKOES020000045.1	76110	5286793
scaff_group_003	CAKOES020000046.1	76087	5362880
scaff_group_003	CAKOES020000047.1	76047	5438927
scaff_group_003	CAKOES020000048.1	75123	5514050
scaff_group_003	CAKOES020000049.1	75069	5589119
scaff_group_003	CAKOES020000050.1	74847	5663966
scaff_group_003	CAKOES020000051.1	74777	5738743
scaff_group_003	CAKOES020000052.1	74507	5813250
scaff_group_003	CAKOES020000053.1	73573	5886823
scaff_group_003	CAKOES020000054.1	73083	5959906
scaff_group_004	CAKOES020000055.1	72627	6032533
scaff_group_004	CAKOES020000056.1	72537	6105070
scaff_group_004	CAKOES020000057.1	71460	6176530
scaff_group_004	CAKOES020000058.1	69755	6246285
scaff_group_004	CAKOES020000059.1	68959	6315244
scaff_group_004	CAKOES020000060.1	68294	6383538
scaff_group_004	CAKOES020000061.1	67811	6451349
scaff_group_004	CAKOES020000062.1	67270	6518619
scaff_group_004	CAKOES020000063.1	66910	6585529
scaff_group_004	CAKOES020000064.1	66408	6651937
scaff_group_004	CAKOES020000065.1	66298	6718235
scaff_group_004	CAKOES020000066.1	66250	6784485
scaff_group_004	CAKOES020000067.1	65366	6849851
scaff_group_004	CAKOES020000068.1	64904	6914755
scaff_group_004	CAKOES020000069.1	64497	6979252
scaff_group_004	CAKOES020000070.1	64003	7043255
scaff_group_004	CAKOES020000071.1	63018	7106273
scaff_group_004	CAKOES020000072.1	62921	7169194
scaff_group_004	CAKOES020000073.1	62700	7231894
scaff_group_004	CAKOES020000074.1	62101	7293995
scaff_group_004	CAKOES020000075.1	61846	7355841
scaff_group_004	CAKOES020000076.1	61662	7417503
scaff_group_004	CAKOES020000077.1	61539	7479042
scaff_group_004	CAKOES020000078.1	61443	7540485
scaff_group_004	CAKOES020000079.1	61351	7601836
scaff_group_004	CAKOES020000080.1	60974	7662810
scaff_group_004	CAKOES020000081.1	60813	7723623
scaff_group_004	CAKOES020000082.1	60764	7784387
scaff_group_004	CAKOES020000083.1	60688	7845075
scaff_group_004	CAKOES020000084.1	60154	7905229
scaff_group_004	CAKOES020000085.1	60083	7965312
scaff_group_005	CAKOES020000086.1	59852	8025164
scaff_group_005	CAKOES020000087.1	59664	8084828
scaff_group_005	CAKOES020000088.1	59448	8144276
scaff_group_005	CAKOES020000089.1	59188	8203464
scaff_group_005	CAKOES020000090.1	58567	8262031
scaff_group_005	CAKOES020000091.1	58421	8320452
scaff_group_005	CAKOES020000092.1	58025	8378477
scaff_group_005	CAKOES020000093.1	57732	8436209
scaff_group_005	CAKOES020000094.1	57248	8493457
scaff_group_005	CAKOES020000095.1	56804	8550261
scaff_group_005	CAKOES020000096.1	56176	8606437
scaff_group_005	CAKOES020000097.1	56010	8662447
scaff_group_005	CAKOES020000098.1	55932	8718379
scaff_group_005	CAKOES020000099.1	55669	8774048
scaff_group_005	CAKOES020000100.1	55291	8829339
scaff_group_005	CAKOES020000101.1	54956	8884295
scaff_group_005	CAKOES020000102.1	54795	8939090
scaff_group_005	CAKOES020000103.1	54660	8993750
scaff_group_005	CAKOES020000104.1	54465	9048215
scaff_group_005	CAKOES020000105.1	54039	9102254
scaff_group_005	CAKOES020000106.1	54028	9156282
scaff_group_005	CAKOES020000107.1	53979	9210261
scaff_group_005	CAKOES020000108.1	53729	9263990
scaff_group_005	CAKOES020000109.1	53656	9317646
scaff_group_005	CAKOES020000110.1	53577	9371223
scaff_group_005	CAKOES020000111.1	53517	9424740
scaff_group_005	CAKOES020000112.1	53195	9477935
scaff_group_005	CAKOES020000113.1	52778	9530713
scaff_group_005	CAKOES020000114.1	52349	9583062
scaff_group_005	CAKOES020000115.1	52246	9635308
scaff_group_005	CAKOES020000116.1	52240	9687548
scaff_group_005	CAKOES020000117.1	52205	9739753
scaff_group_005	CAKOES020000118.1	51791	9791544
scaff_group_005	CAKOES020000119.1	51282	9842826
scaff_group_005	CAKOES020000120.1	51072	9893898
scaff_group_005	CAKOES020000121.1	50803	9944701
scaff_group_005	CAKOES020000122.1	50757	9995458
scaff_group_006	CAKOES020000123.1	50661	10046119
scaff_group_006	CAKOES020000124.1	50603	10096722
scaff_group_006	CAKOES020000125.1	50575	10147297
scaff_group_006	CAKOES020000126.1	50309	10197606
scaff_group_006	CAKOES020000127.1	49874	10247480
scaff_group_006	CAKOES020000128.1	49543	10297023
scaff_group_006	CAKOES020000129.1	49421	10346444
scaff_group_006	CAKOES020000130.1	49281	10395725
scaff_group_006	CAKOES020000131.1	48891	10444616
scaff_group_006	CAKOES020000132.1	48754	10493370
scaff_group_006	CAKOES020000133.1	48354	10541724
scaff_group_006	CAKOES020000134.1	48245	10589969
scaff_group_006	CAKOES020000135.1	48231	10638200
scaff_group_006	CAKOES020000136.1	48134	10686334
scaff_group_006	CAKOES020000137.1	47980	10734314
scaff_group_006	CAKOES020000138.1	47699	10782013
scaff_group_006	CAKOES020000139.1	47692	10829705
scaff_group_006	CAKOES020000140.1	47689	10877394
scaff_group_006	CAKOES020000141.1	47570	10924964
scaff_group_006	CAKOES020000142.1	47477	10972441
scaff_group_006	CAKOES020000143.1	47360	11019801
scaff_group_006	CAKOES020000144.1	47351	11067152
scaff_group_006	CAKOES020000145.1	47311	11114463
scaff_group_006	CAKOES020000146.1	47204	11161667
scaff_group_006	CAKOES020000147.1	46968	11208635
scaff_group_006	CAKOES020000148.1	46923	11255558
scaff_group_006	CAKOES020000149.1	46800	11302358
scaff_group_006	CAKOES020000150.1	46771	11349129
scaff_group_006	CAKOES020000151.1	46727	11395856
scaff_group_006	CAKOES020000152.1	46605	11442461
scaff_group_006	CAKOES020000153.1	46383	11488844
scaff_group_006	CAKOES020000154.1	46145	11534989
scaff_group_006	CAKOES020000155.1	45969	11580958
scaff_group_006	CAKOES020000156.1	45641	11626599
scaff_group_006	CAKOES020000157.1	45474	11672073
scaff_group_006	CAKOES020000158.1	45226	11717299
scaff_group_006	CAKOES020000159.1	45225	11762524
scaff_group_006	CAKOES020000160.1	45078	11807602
scaff_group_006	CAKOES020000161.1	45000	11852602
scaff_group_006	CAKOES020000162.1	44946	11897548
scaff_group_006	CAKOES020000163.1	44765	11942313
scaff_group_006	CAKOES020000164.1	44546	11986859
scaff_group_007	CAKOES020000165.1	44542	12031401
scaff_group_007	CAKOES020000166.1	44303	12075704
scaff_group_007	CAKOES020000167.1	44119	12119823
scaff_group_007	CAKOES020000168.1	44049	12163872
scaff_group_007	CAKOES020000169.1	43829	12207701
scaff_group_007	CAKOES020000170.1	43746	12251447
scaff_group_007	CAKOES020000171.1	43563	12295010
scaff_group_007	CAKOES020000172.1	43509	12338519
scaff_group_007	CAKOES020000173.1	43502	12382021
scaff_group_007	CAKOES020000174.1	43320	12425341
scaff_group_007	CAKOES020000175.1	43109	12468450
scaff_group_007	CAKOES020000176.1	43031	12511481
scaff_group_007	CAKOES020000177.1	42901	12554382
scaff_group_007	CAKOES020000178.1	42878	12597260
scaff_group_007	CAKOES020000179.1	42717	12639977
scaff_group_007	CAKOES020000180.1	42705	12682682
scaff_group_007	CAKOES020000181.1	42504	12725186
scaff_group_007	CAKOES020000182.1	42143	12767329
scaff_group_007	CAKOES020000183.1	41781	12809110
scaff_group_007	CAKOES020000184.1	41753	12850863
scaff_group_007	CAKOES020000185.1	41601	12892464
scaff_group_007	CAKOES020000186.1	41524	12933988
scaff_group_007	CAKOES020000187.1	41355	12975343
scaff_group_007	CAKOES020000188.1	41211	13016554
scaff_group_007	CAKOES020000189.1	41201	13057755
scaff_group_007	CAKOES020000190.1	41106	13098861
scaff_group_007	CAKOES020000191.1	40983	13139844
scaff_group_007	CAKOES020000192.1	40956	13180800
scaff_group_007	CAKOES020000193.1	40690	13221490
scaff_group_007	CAKOES020000194.1	40639	13262129
scaff_group_007	CAKOES020000195.1	40636	13302765
scaff_group_007	CAKOES020000196.1	40634	13343399
scaff_group_007	CAKOES020000197.1	40498	13383897
scaff_group_007	CAKOES020000198.1	40490	13424387
scaff_group_007	CAKOES020000199.1	40487	13464874
scaff_group_007	CAKOES020000200.1	40432	13505306
scaff_group_007	CAKOES020000201.1	40345	13545651
scaff_group_007	CAKOES020000202.1	40338	13585989
scaff_group_007	CAKOES020000203.1	40296	13626285
scaff_group_007	CAKOES020000204.1	40269	13666554
scaff_group_007	CAKOES020000205.1	40228	13706782
scaff_group_007	CAKOES020000206.1	40194	13746976
scaff_group_007	CAKOES020000207.1	40163	13787139
scaff_group_007	CAKOES020000208.1	40077	13827216
